symbol,companyName,exchange,marketCap,price,ceo,enterpriseValue
RNG,"RingCentral, Inc.",NYSE,3596255577.0,40.19,Vladimir G. Shmunis,3836166280.0
BULL,Webull Corporation Class A Ordinary Shares,NASDAQ,3593806483.0,6.76,Anquan Wang,971902340.0
PSA-PF,Public Storage,NYSE,3591933374.0,20.47,H. Thomas Boyle,
SM,SM Energy Company,NYSE,3591414460.0,31.23,Elizabeth Anne McDonald,4078500000.0
OII,"Oceaneering International, Inc.",NYSE,3590828964.0,36.0,Roderick A. Larson,2231892890.0
MTRN,Materion Corporation,NYSE,3589056302.0,172.54,Jugal K. Vijayvargiya,3167476600.0
PSA-PG,Public Storage,NYSE,3584914452.0,20.43,H. Thomas Boyle,
MMS,"Maximus, Inc.",NYSE,3564749442.0,65.35,Bruce L. Caswell,6429533810.0
DTG,DTE Energy Company 2021 Series,NYSE,3561760560.0,17.14,Gerardo Norcia,
CALM,"Cal-Maine Foods, Inc.",NASDAQ,3556561362.0,75.07,Sherman L. Miller,4173221670.0
RCD,Ready Capital Corporation Notes -15.12.29,NYSE,3550559400.0,21.9,Thomas Edward Capasse,
CTRI,"Centuri Holdings, Inc.",NYSE,3547709862.0,35.18,Christian Ian Brown,2504008000.0
BHF,"Brighthouse Financial, Inc.",NASDAQ,3541411313.0,61.93,Eric Thomas Steigerwalt,1472109090.0
LION,Lionsgate Studios Corp.,NYSE,3540284572.0,12.2,Jon Feltheimer,2624300000.0
BFH,"Bread Financial Holdings, Inc.",NYSE,3538327034.0,85.42,Ralph J. Andretta,4112947000.0
HGV,Hilton Grand Vacations Inc.,NYSE,3533801470.0,43.4,Mark D. Wang,10802025000.0
MZTI,The Marzetti Company,NASDAQ,3531950872.0,128.5,David A. Ciesinski,4639896130.0
DTB,DTE Energy Company 2020 Series,NYSE,3529550940.0,16.985,Gerardo Norcia,
WHR,Whirlpool Corporation,NYSE,3520930568.0,54.64,Marc Robert Bitzer,11228840000.0
GBDC,"Golub Capital BDC, Inc.",NASDAQ,3511463935.0,13.34,David Golub,8518687978.0
CDP,COPT Defense Properties,NYSE,3507941867.0,30.94,Stephen E. Budorick,5665804800.0
HCXY,"Hercules Capital, Inc.",NYSE,3504288123.0,24.86,,
PAY,"Paymentus Holdings, Inc.",NYSE,3503224208.0,27.97,Dushyant Sharma,3773832250.0
CNS,"Cohen & Steers, Inc.",NYSE,3478853091.0,67.69,Joseph Martin Harvey,3209909540.0
GPOR,Gulfport Energy Corporation,NYSE,3477147564.0,192.63,Michael L. Hodges,4577135770.0
